Videos,Code_I,Code_II,Code_III,Code_IV,Notes about movement vs static object,hand movement code was present,object code was present,hand but not object,incorrect orientation/no hand movement code
z185-sep-09-22-gladom_assemble_start_92.205_end_98.224.mp4,Pause full hand,Incorrect subcomponent orientation,,,object movement,FALSE,TRUE,FALSE,FALSE
z017-june-20-22-rashult_assemble_start_291.494_end_298.5.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z137-aug-14-22-rashult_assemble_start_52.7_end_60.4.mp4,Pause empty hand,Moving farther back,,,NaN,FALSE,FALSE,FALSE,FALSE
z178-sep-05-22-knarrevik_assemble_start_31.265_end_39.241.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z081-july-06-22-rashult_assemble_start_138.688_end_146.324.mp4,Reaching towards wrong piece ,Pointing,,,NaN,TRUE,FALSE,TRUE,TRUE
z015-june-17-22-rashult_assemble_start_41.2_end_53.4.mp4,Pitch 90 ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z045-june-24-22-gladom_assemble_start_123.4_end_129.7.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z015-june-17-22-rashult_assemble_start_761.8199953333929_end_772.9799930000896.mp4,Large 1D Gaze Shift,Looking around,Looking away,,NaN,FALSE,FALSE,FALSE,FALSE
z038-june-23-22-knarrevik_assemble_start_28.445_end_38.745.mp4,Retract from right contact,Pitch 90 ,Inconvenient subcomponent orientation,,error,TRUE,TRUE,FALSE,TRUE
z150-aug-22-22-rashult_assemble_start_47.379_end_54.578.mp4,Fixate on piece,Pause full hand,,,NaN,FALSE,FALSE,FALSE,FALSE
z109-july-27-22-rashult_assemble_start_387.2_end_399.0.mp4,Pause full hand,Moving farther back,,,NaN,FALSE,FALSE,FALSE,FALSE
z131-aug-11-22-rashult_assemble_start_629.1_end_637.2.mp4,Builder history,,,,NaN,FALSE,FALSE,FALSE,FALSE
z185-sep-09-22-marius_assemble_start_95.747_end_102.547.mp4,Touching pieces together,Incorrect subcomponent orientation,,,both,TRUE,TRUE,FALSE,TRUE
z169-sep-02-22-knarrevik_assemble_start_28.514000000000003_end_37.951.mp4,Yaw 180,Pitch 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z062-june-29-22-rashult_assemble_start_1061.1_end_1068.7.mp4,Incorrect subcomponent placement,,,,both,FALSE,TRUE,FALSE,FALSE
z136-aug-13-22-marius_assemble_start_151.3_end_157.967.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z130-aug-11-22-marius_assemble_start_55.342_end_62.523.mp4,Pause empty hand,Small 1D Gaze Shift,,,NaN,FALSE,FALSE,FALSE,FALSE
z142-aug-17-22-marius_assemble_start_7.1899999999999995_end_13.808.mp4,Fixate on piece,Retract from right reach,,,NaN,TRUE,FALSE,TRUE,TRUE
z117-aug-05-22-rashult_assemble_start_153.911_end_162.5.mp4,Pause full hand,Incorrect subcomponent placement,,,both,FALSE,TRUE,FALSE,FALSE
z106-july-14-22-rashult_assemble_start_51.9_end_59.8.mp4,Comment,,,,NaN,FALSE,FALSE,FALSE,FALSE
z095-july-11-22-rashult_assemble_start_525.1_end_533.555.mp4,Incorrect subcomponent placement,Pick-up wrong piece,,,error,TRUE,TRUE,FALSE,TRUE
z169-sep-02-22-knarrevik_assemble_start_16.584_end_28.98.mp4,Pitch 180,Yaw 360,Touching pieces together,,NaN,TRUE,FALSE,TRUE,TRUE
z187-sep-09-22-rashult_assemble_start_37.363_end_43.5.mp4,Roll 90 ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z014-june-17-22-gladom_assemble_start_319.157_end_328.927.mp4,Touching pieces together,,,,NaN,TRUE,FALSE,TRUE,TRUE
z048-june-25-22-rashult_assemble_start_159.197_end_166.318.mp4,Large 1D Gaze Shift,Roll 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z066-june-29-22-marius_assemble_start_86.2_end_93.4.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z050-june-27-22-rashult_assemble_start_956.171_end_968.765.mp4,Inconvenient subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z110-aug-02-22-rashult_assemble_start_117.2_end_126.6.mp4,Small 1D Gaze Shift,Pick-up wrong piece,,,NaN,TRUE,FALSE,TRUE,TRUE
z050-june-27-22-rashult_assemble_start_855.4_end_865.088.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z019-june-20-22-rashult_assemble_start_1111.438_end_1119.041.mp4,Missing Tool,,,,NaN,FALSE,FALSE,FALSE,FALSE
z069-june-29-22-knarrevik_assemble_start_35.1_end_44.445.mp4,Roll 90 ,Pitch 90 ,,,NaN,TRUE,FALSE,TRUE,TRUE
z062-june-29-22-rashult_assemble_start_18.7_end_26.733.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z102-july-13-22-rashult_assemble_start_178.806_end_188.324.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z047-june-25-22-marius_assemble_start_42.6_end_53.239.mp4,Reaching towards wrong piece ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z069-june-29-22-rashult_assemble_start_740.129_end_752.629.mp4,Inconvenient subcomponent orientation,Pause full hand,,,object movement,FALSE,TRUE,FALSE,FALSE
z198-sep-18-22-rashult_assemble_start_387.571_end_394.906.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z121-aug-09-22-gladom_assemble_start_154.2_end_161.9.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z048-june-25-22-rashult_assemble_start_520.15_end_527.65.mp4,Small 1D Gaze Shift,,,,NaN,FALSE,FALSE,FALSE,FALSE
z046-june-24-22-marius_assemble_start_88.349_end_96.757.mp4,Incorrect subcomponent placement,,,,both,FALSE,TRUE,FALSE,FALSE
z046-june-24-22-knarrevik_assemble_start_81.082_end_88.114.mp4,Inconvenient subcomponent orientation,Moving closer ,,,error,FALSE,TRUE,FALSE,FALSE
z053-june-27-22-marius_assemble_start_101.375_end_108.525.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z104-july-14-22-knarrevik_assemble_start_531.0_end_538.9.mp4,Looking away,Looking around,,,NaN,FALSE,FALSE,FALSE,FALSE
z108-july-26-22-gladom_assemble_start_170.71_end_177.06.mp4,Incorrect subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z066-june-29-22-rashult_assemble_start_710.776_end_719.106.mp4,Missing Tool,,,,NaN,FALSE,FALSE,FALSE,FALSE
z191-sep-11-22-knarrevik_assemble_start_101.3_end_107.5.mp4,Looking away,Looking around,,,NaN,FALSE,FALSE,FALSE,FALSE
z109-july-27-22-rashult_assemble_start_255.3_end_262.9.mp4,Shifting alignment,Pause empty hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z162-aug-30-22-gladom_assemble_start_43.188_end_51.775.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z190-sep-10-22-rashult_assemble_start_302.3_end_311.3.mp4,Reaching towards wrong piece ,Large 1D Gaze Shift,,,NaN,TRUE,FALSE,TRUE,TRUE
z098-july-12-22-marius_assemble_start_88.1_end_94.147.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,,NaN,TRUE,FALSE,TRUE,TRUE
z191-sep-11-22-rashult_assemble_start_537.1_end_546.4.mp4,Incorrect subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z135-aug-13-22-marius_assemble_start_58.80000000000001_end_65.80000000000005.mp4,Builder history,,,,NaN,FALSE,FALSE,FALSE,FALSE
z157-aug-27-22-rashult_assemble_start_736.251_end_743.451.mp4,Inconvenient subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z076-july-01-22-rashult_assemble_start_534.329_end_543.477.mp4,Inconvenient subcomponent orientation,,,,both,FALSE,TRUE,FALSE,FALSE
z038-june-23-22-rashult_assemble_start_13.88619607003_end_23.029.mp4,Roll 90 ,Pause full hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z194-sep-16-22-marius_assemble_start_52.349_end_59.553.mp4,Pause empty hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z014-june-17-22-gladom_assemble_start_271.066_end_280.284.mp4,Incorrect subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z129-aug-11-22-rashult_assemble_start_548.1_end_557.076.mp4,Incorrect subcomponent placement,Yaw 90,,,object movement,TRUE,TRUE,FALSE,TRUE
z093-july-11-22-knarrevik_assemble_start_52.3_end_60.196.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z114-aug-03-22-knarrevik_assemble_start_15.888000000000002_end_27.388.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z178-sep-05-22-knarrevik_assemble_start_7.300000000000001_end_18.6.mp4,Retract from right contact,Small 1D Gaze Shift,,,NaN,TRUE,FALSE,TRUE,TRUE
z153-aug-25-22-rashult_assemble_start_106.7_end_119.0.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z099-july-13-22-rashult_assemble_start_394.3_end_400.427.mp4,Retract from wrong reach,,,,NaN,TRUE,FALSE,TRUE,TRUE
z123-aug-09-22-knarrevik_assemble_start_31.200000000000003_end_44.7.mp4,Pitch 180,Yaw 90,,,NaN,TRUE,FALSE,TRUE,TRUE
z168-sep-01-22-rashult_assemble_start_39.3_end_45.9.mp4,Pause empty hand,Small 1D Gaze Shift,,,NaN,FALSE,FALSE,FALSE,FALSE
z088-july-07-22-knarrevik_assemble_start_17.272_end_25.259.mp4,Incorrect subcomponent orientation,Reaching towards wrong piece ,,,error,TRUE,TRUE,FALSE,TRUE
z060-june-28-22-rashult_assemble_start_531.4_end_540.4.mp4,Inconvenient subcomponent placement,,,,object movement,FALSE,TRUE,FALSE,FALSE
z053-june-27-22-gladom_assemble_start_99.336_end_107.511.mp4,Incorrect subcomponent placement,,,,both,FALSE,TRUE,FALSE,FALSE
z019-june-20-22-gladom_assemble_start_356.351_end_370.632.mp4,Incomplete Step,,,,error,FALSE,TRUE,FALSE,FALSE
z183-sep-08-22-gladom_assemble_start_15.370000000000001_end_22.782.mp4,Pause full hand,Touching pieces together,,,NaN,TRUE,FALSE,TRUE,TRUE
z191-sep-11-22-marius_assemble_start_65.4_end_71.6.mp4,Incorrect subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z047-june-25-22-marius_assemble_start_118.022_end_125.322.mp4,Warning For Future,,,,NaN,FALSE,FALSE,FALSE,FALSE
z121-aug-09-22-gladom_assemble_start_101.498_end_109.667.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z030-june-22-22-marius_assemble_start_58.916_end_70.516.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z153-aug-25-22-gladom_assemble_start_74.55_end_81.709.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z190-sep-10-22-rashult_assemble_start_169.884_end_179.1.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z142-aug-17-22-marius_assemble_start_76.806_end_82.9.mp4,Incorrect subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z009-june-15-22-marius_assemble_start_244.624_end_252.824.mp4,Pause empty hand,Decrease Proximity to Gaze,,,NaN,TRUE,FALSE,TRUE,TRUE
z047-june-25-22-marius_assemble_start_91.4_end_99.3.mp4,Pick-up wrong piece,Incorrect subcomponent placement,,,object movement,TRUE,TRUE,FALSE,TRUE
z048-june-25-22-rashult_assemble_start_12.826_end_22.737.mp4,Pick-up wrong piece,Pitch 90 ,,,NaN,TRUE,FALSE,TRUE,TRUE
z064-june-29-22-gladom_assemble_start_223.3472352433676_end_230.98.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z137-aug-14-22-knarrevik_assemble_start_18.406_end_28.271.mp4,Reaching with the wrong orientation,,,,NaN,TRUE,FALSE,TRUE,TRUE
z137-aug-14-22-rashult_assemble_start_549.9_end_558.4.mp4,Incorrect subcomponent orientation,Pitch 90 ,,,object movement,TRUE,TRUE,FALSE,TRUE
z189-sep-10-22-knarrevik_assemble_start_16.788_end_23.188.mp4,Small 1D Gaze Shift,Yaw 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z095-july-11-22-rashult_assemble_start_178.389_end_188.8.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z085-july-06-22-marius_assemble_start_40.6_end_47.718.mp4,Pause full hand,Yaw 360,,,NaN,TRUE,FALSE,TRUE,TRUE
z060-june-28-22-rashult_assemble_start_621.9_end_633.2.mp4,Moving farther back,,,,NaN,FALSE,FALSE,FALSE,FALSE
z117-aug-05-22-rashult_assemble_start_33.394_end_43.476.mp4,Builder history,,,,NaN,FALSE,FALSE,FALSE,FALSE
z009-june-15-22-marius_assemble_start_18.0_end_25.3.mp4,Roll 180,Pick-up wrong piece,,,NaN,TRUE,FALSE,TRUE,TRUE
z178-sep-05-22-knarrevik_assemble_start_521.427_end_529.0.mp4,Looking away,Pause empty hand,,,NaN,FALSE,FALSE,FALSE,FALSE
z208-sep-27-22-gladom_assemble_start_90.975_end_96.525.mp4,Small 1D Gaze Shift,,,,NaN,FALSE,FALSE,FALSE,FALSE
z178-sep-05-22-knarrevik_assemble_start_742.718_end_751.718.mp4,Warning For Future,,,,NaN,FALSE,FALSE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_43.2_end_51.3.mp4,Reaching towards wrong piece ,Retract from wrong reach,,,NaN,TRUE,FALSE,TRUE,TRUE
z138-aug-15-22-marius_assemble_start_127.328_end_133.157.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_495.6_end_502.7.mp4,Pause full hand,Yaw 90,,,NaN,TRUE,FALSE,TRUE,TRUE
z019-june-20-22-rashult_assemble_start_419.111_end_425.891.mp4,Incorrect subcomponent placement,,,,object movement,FALSE,TRUE,FALSE,FALSE
z029-june-22-22-marius_assemble_start_67.8_end_77.0.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z075-july-01-22-knarrevik_assemble_start_93.3_end_104.782.mp4,Incorrect subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z095-july-11-22-rashult_assemble_start_42.05_end_48.75.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z028-june-22-22-marius_assemble_start_114.1_end_121.0.mp4,Undo step,,,,error,FALSE,TRUE,FALSE,FALSE
z010-june-16-22-knarrevik_assemble_start_256.631_end_266.516.mp4,Inconvenient subcomponent orientation,,,,both,FALSE,TRUE,FALSE,FALSE
z076-july-01-22-marius_assemble_start_66.1_end_74.8.mp4,Pick-up wrong piece,Pitch 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z153-aug-25-22-gladom_assemble_start_4.077999999999999_end_12.475.mp4,Pick-up wrong piece,Pause full hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z102-july-13-22-rashult_assemble_start_49.218_end_55.11.mp4,Pitch 180,Roll 90 ,,,NaN,TRUE,FALSE,TRUE,TRUE
z093-july-11-22-rashult_assemble_start_127.30000000000001_end_137.6.mp4,Reaching towards wrong piece ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z190-sep-10-22-rashult_assemble_start_302.3_end_311.3.mp4,Retract from right contact,Pick-up wrong piece,Small 1D Gaze Shift,,NaN,TRUE,FALSE,TRUE,TRUE
z091-july-08-22-marius_assemble_start_21.2_end_28.3.mp4,Incorrect subcomponent placement,Incorrect subcomponent orientation,,,both,FALSE,TRUE,FALSE,FALSE
z014-june-17-22-gladom_assemble_start_138.285_end_146.9.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z106-july-14-22-rashult_assemble_start_193.2_end_202.7.mp4,Inconvenient subcomponent placement,,,,object movement,FALSE,TRUE,FALSE,FALSE
z018-june-20-22-marius_assemble_start_61.43299999999999_end_69.43299999999999.mp4,Incorrect subcomponent placement,Reaching with the wrong orientation,,,object movement,TRUE,TRUE,FALSE,TRUE
z051-june-27-22-rashult_assemble_start_909.1_end_919.3.mp4,Reaching towards wrong piece ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z167-sep-01-22-gladom_assemble_start_21.725_end_29.73577592871959.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_787.2_end_794.8.mp4,Repeating Completed Step,,,,NaN,FALSE,FALSE,FALSE,FALSE
z136-aug-13-22-marius_assemble_start_126.1_end_132.2.mp4,shaking structure,,,,NaN,TRUE,FALSE,TRUE,TRUE
z021-june-20-22-knarrevik_assemble_start_16.1_end_37.249.mp4,Roll 180,Yaw 180,Pick-up wrong piece,,NaN,TRUE,FALSE,TRUE,TRUE
z076-july-01-22-marius_assemble_start_27.62358141410882_end_37.1269070705441.mp4,Missing Tool,,,,NaN,FALSE,FALSE,FALSE,FALSE
z038-june-23-22-rashult_assemble_start_34.81701922137968_end_40.28301922137968.mp4,Incorrect subcomponent placement,Builder history,,,error,FALSE,TRUE,FALSE,FALSE
z163-aug-30-22-gladom_assemble_start_21.418_end_30.072.mp4,Pause full hand,Fixate on piece,Pitch 90 ,,NaN,TRUE,FALSE,TRUE,TRUE
z031-june-22-22-marius_assemble_start_47.533_end_59.4.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z169-sep-02-22-knarrevik_assemble_start_44.851_end_54.447.mp4,Reaching with the wrong orientation,Incorrect subcomponent orientation,,,object movement,TRUE,TRUE,FALSE,TRUE
z185-sep-09-22-gladom_assemble_start_111.304_end_118.293.mp4,Incorrect subcomponent orientation,Touching pieces together,,,object movement,TRUE,TRUE,FALSE,TRUE
z094-july-11-22-gladom_assemble_start_6.215_end_13.447.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,,NaN,TRUE,FALSE,TRUE,TRUE
z067-june-29-22-marius_assemble_start_255.05700000000002_end_262.769.mp4,Pause empty hand,Moving farther back,,,NaN,FALSE,FALSE,FALSE,FALSE
z150-aug-22-22-rashult_assemble_start_60.397000000000006_end_69.4.mp4,Pick-up wrong piece,Inconvenient subcomponent placement,,,object movement,TRUE,TRUE,FALSE,TRUE
z161-aug-29-22-rashult_assemble_start_2.0_end_9.4.mp4,Pause empty hand,Reaching towards wrong piece ,,,NaN,TRUE,FALSE,TRUE,TRUE
z075-july-01-22-knarrevik_assemble_start_8.099_end_19.951.mp4,Pause full hand,Yaw 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z066-june-29-22-marius_assemble_start_51.1_end_58.4.mp4,Missing Tool,,,,NaN,FALSE,FALSE,FALSE,FALSE
z020-june-20-22-gladom_assemble_start_222.17_end_232.029.mp4,Incorrect subcomponent orientation,,,,both,FALSE,TRUE,FALSE,FALSE
z050-june-27-22-rashult_assemble_start_534.082_end_542.506.mp4,Incorrect subcomponent placement,Pause full hand,,,both,FALSE,TRUE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_127.93100000000001_end_135.069.mp4,Pause full hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z137-aug-14-22-rashult_assemble_start_571.168_end_579.39.mp4,Pick-up wrong piece,Pause full hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z048-june-25-22-marius_assemble_start_80.771_end_89.69299999999997.mp4,Incorrect subcomponent orientation,,,,both,FALSE,TRUE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_384.1_end_392.5.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z048-june-25-22-rashult_assemble_start_811.555_end_824.0.mp4,Pause empty hand,Small 1D Gaze Shift,,,NaN,FALSE,FALSE,FALSE,FALSE
z201-sep-22-22-gladom_assemble_start_172.327_end_178.7274502672262.mp4,Pick-up wrong piece,Roll 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z048-june-25-22-rashult_assemble_start_395.2_end_405.5.mp4,Pause full hand,Looking around,,,NaN,FALSE,FALSE,FALSE,FALSE
z109-july-27-22-knarrevik_assemble_start_12.290196040984604_end_19.3901960409846.mp4,Yaw 360,Pause full hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z017-june-20-22-rashult_assemble_start_900.488_end_910.688.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z098-july-12-22-knarrevik_assemble_start_40.37058767944757_end_46.4.mp4,Retract from right contact,,,,NaN,TRUE,FALSE,TRUE,TRUE
