Videos,Code_I,Code_II,Code_III,Code_IV
z014-june-17-22-gladom_assemble_start_359.221_end_365.406.mp4,Pause empty hand,,,
z125-aug-10-22-rashult_assemble_start_465.614_end_478.971.mp4,Inconvenient subcomponent orientation,,,
z099-july-13-22-rashult_assemble_start_156.559_end_164.638.mp4,Interjection,Roll 360,,
z066-june-29-22-marius_assemble_start_89.437_end_96.937.mp4,Pick-up wrong piece,,,
z131-aug-11-22-rashult_assemble_start_234.541_end_242.441.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z129-aug-11-22-rashult_assemble_start_13.988_end_24.865.mp4,Pick-up wrong piece,,,
z191-sep-11-22-rashult_assemble_start_288.1_end_299.7.mp4,Increase Proximity to Gaze,Small 1D Gaze Shift,Moving closer ,
z145-aug-18-22-gladom_assemble_start_103.931_end_110.94.mp4,Pick-up wrong piece,Fixate on piece,,
z169-sep-02-22-knarrevik_assemble_start_82.29_end_91.614.mp4,Inconvenient subcomponent orientation,Reaching towards wrong piece ,,
z186-sep-09-22-knarrevik_assemble_start_209.106_end_215.8.mp4,Palm up,Decrease Proximity to Gaze,,
z069-june-29-22-rashult_assemble_start_336.1_end_342.6.mp4,Decrease Proximity to Gaze,,,
z045-june-24-22-gladom_assemble_start_75.706_end_84.247.mp4,Changing angle between pieces ,Touching pieces together,,
z117-aug-05-22-rashult_assemble_start_392.1_end_400.812.mp4,Incorrect subcomponent placement,,,
z019-june-20-22-knarrevik_assemble_start_576.715_end_591.82.mp4,Shifting alignment,,,
z150-aug-22-22-rashult_assemble_start_662.417_end_668.6.mp4,No apparent Cue,,,
z108-july-26-22-rashult_assemble_start_628.271_end_635.871.mp4,Pause empty hand,Decrease Proximity to Gaze,,
z060-june-28-22-rashult_assemble_start_134.59_end_143.59.mp4,Moving closer ,Pitch 90 ,,
z185-sep-09-22-marius_assemble_start_222.673_end_234.073.mp4,Pause empty hand,Moving farther back,,
z150-aug-22-22-rashult_assemble_start_211.51_end_217.7.mp4,Reaching with the wrong orientation,Incorrect subcomponent orientation,,
z150-aug-22-22-rashult_assemble_start_213.064_end_219.708.mp4,Reaching with the wrong orientation,Incorrect subcomponent placement,,
z025-june-21-22-knarrevik_assemble_start_408.505_end_416.587.mp4,Inconvenient subcomponent orientation,,,
z144-aug-18-22-knarrevik_assemble_start_17.53380401082677_end_30.959.mp4,Inconvenient subcomponent orientation,,,
z201-sep-22-22-rashult_assemble_start_312.3_end_319.6.mp4,Pause full hand,,,
z185-sep-09-22-gladom_assemble_start_143.1_end_156.253.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z165-aug-31-22-gladom_assemble_start_46.2294099399058_end_55.84009939905798.mp4,Reaching towards wrong piece ,,,
z024-june-21-22-rashult_assemble_start_165.1_end_177.9.mp4,Looking around,Pitch 90 ,,
z050-june-27-22-rashult_assemble_start_201.982_end_211.682.mp4,Small 1D Gaze Shift,Decrease Proximity to Gaze,,
z050-june-27-22-rashult_assemble_start_863.351_end_877.086.mp4,Reaching towards wrong piece ,Pick-up wrong piece,,
z095-july-11-22-rashult_assemble_start_782.497_end_798.061.mp4,Inconvenient subcomponent orientation,Incorrect subcomponent placement,,
z081-july-06-22-rashult_assemble_start_173.869_end_179.899.mp4,Question,,,
z078-july-01-22-knarrevik_assemble_start_29.512_end_39.755.mp4,Pause empty hand,Small 1D Gaze Shift,Touching pieces together,
z176-sep-05-22-knarrevik_assemble_start_19.2_end_26.147.mp4,Retract from right contact,Pause full hand,,
z075-july-01-22-rashult_assemble_start_392.3_end_403.541.mp4,Pick-up wrong piece,,,
z069-june-29-22-rashult_assemble_start_50.3_end_56.6.mp4,Pick-up wrong piece,,,
z046-june-24-22-marius_assemble_start_16.898_end_22.814.mp4,Pick-up wrong piece,,,
z014-june-17-22-gladom_assemble_start_256.66_end_268.945.mp4,Pause full hand,,,
z190-sep-10-22-rashult_assemble_start_141.2_end_151.0.mp4,Retract from right contact,Pitch 180,,
z021-june-20-22-knarrevik_assemble_start_179.62_end_195.318.mp4,Inconvenient subcomponent orientation,Reaching towards wrong piece ,,
z099-july-13-22-rashult_assemble_start_557.336_end_567.0.mp4,Incorrect subcomponent placement,,,
z138-aug-15-22-marius_assemble_start_116.076_end_122.28.mp4,shaking structure,Reaching towards wrong piece ,,
z191-sep-11-22-rashult_assemble_start_524.9_end_532.9.mp4,Pick-up wrong piece,,,
z111-aug-02-22-gladom_assemble_start_13.024999999999999_end_19.213.mp4,Pause full hand,Touching pieces together,,
z185-sep-09-22-gladom_assemble_start_129.34_end_145.279.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z191-sep-11-22-rashult_assemble_start_18.667_end_24.843.mp4,Pause full hand,,,
z035-june-23-22-rashult_assemble_start_18.935_end_27.8.mp4,Pause full hand,Reaching towards wrong piece ,Pitch 180,
z138-aug-15-22-marius_assemble_start_23.292_end_31.792.mp4,Pause full hand,,,
z058-june-28-22-gladom_assemble_start_61.538_end_70.524.mp4,Incorrect subcomponent orientation,,,
z038-june-23-22-rashult_assemble_start_422.512_end_434.409.mp4,Pick-up wrong piece,,,
z150-aug-22-22-rashult_assemble_start_714.4_end_720.466.mp4,Pause full hand,Large 1D Gaze Shift,,
z062-june-29-22-rashult_assemble_start_678.663_end_686.563.mp4,Inconvenient subcomponent orientation,Pick-up wrong piece,,
z091-july-08-22-marius_assemble_start_246.3_end_253.6.mp4,Pause full hand,Yaw 90,,
z191-sep-11-22-marius_assemble_start_60.099999999999994_end_67.4.mp4,Missing Tool,Inconvenient subcomponent placement,,
z101-july-13-22-rashult_assemble_start_360.1_end_369.618.mp4,Pause empty hand,Retract from right reach,Large 1D Gaze Shift,
z185-sep-09-22-gladom_assemble_start_180.225_end_188.575.mp4,Incorrect subcomponent orientation,Touching pieces together,,
z169-sep-02-22-rashult_assemble_start_155.143_end_164.025.mp4,Pitch 90 ,Roll 90 ,Yaw 90,
z031-june-22-22-knarrevik_assemble_start_31.447000000000003_end_42.647.mp4,Reaching with the wrong orientation,,,
z142-aug-17-22-marius_assemble_start_157.445_end_164.8.mp4,Pitch 360,,,
z047-june-25-22-gladom_assemble_start_28.1_end_37.2.mp4,Touching pieces together,,,
z014-june-17-22-gladom_assemble_start_303.1_end_311.375.mp4,shaking structure,,,
z184-sep-08-22-marius_assemble_start_51.469_end_60.23325238282788.mp4,shaking structure,,,
z095-july-11-22-rashult_assemble_start_0_end_6.3.mp4,Pause empty hand,,,
